contestant name,age,african_american,asian_american,latin_american,poc,gender_F,gender_M,gender_N,country_CA,country_US,finish
Bruce Perreault,45,1,0,0,1,0,1,0,0,1,18
Maddy Pomilla,28,0,0,0,0,1,0,0,0,1,17
Helen Li,28,0,1,0,1,1,0,0,0,1,16
Claire Rafson,25,1,0,0,1,1,0,0,0,1,15
Sarah Wade,26,0,0,0,0,1,0,0,0,1,14
Matthew Grinstead-Mayle,43,0,0,0,0,0,1,0,0,1,13
Josh Wilder,34,1,0,0,1,0,1,0,0,1,12
Matt Blankinship,27,0,1,0,1,0,1,0,0,1,11
Brandon Cottom,29,1,0,0,1,0,1,0,0,1,10
Kane Fritzler,24,0,0,0,0,0,1,0,1,0,9
Frannie Marin,23,0,0,0,0,1,0,0,0,1,8
Danny Massa,31,0,0,0,0,0,1,0,0,1,7
Jaime Lynn Ruiz,35,0,0,0,0,1,0,0,0,1,6
Lauren Harpe,30,1,0,0,1,1,0,0,0,1,5
Carson Garrett,20,0,0,0,0,0,1,0,0,1,4
Carolyn Wiger,35,0,0,0,0,1,0,0,0,1,3
Heidi Lagares-Greenblatt,42,0,0,1,1,1,0,0,0,1,2
Yam Yam Arocho,35,0,0,1,1,0,1,0,0,1,1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
